family,set_id,policy,candidate,stage,count,total,frequency,estimand,source_observations_sha256
primary,primary_019d7c31a48b,oracle,mlp_up_gate_all_blocks_stage4_w8,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,oracle,mlp_up_gate_all_blocks_stage10_w8,10,1,64,0.015625,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,oracle,mlp_up_gate_all_blocks_stage15_w8,15,63,64,0.984375,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,oracle,input_patch_projection_stage4_w4,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,oracle,input_patch_projection_stage10_w4,10,1,64,0.015625,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,oracle,input_patch_projection_stage15_w4,15,63,64,0.984375,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,oracle,qkv_all_blocks_stage4_w8,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,oracle,qkv_all_blocks_stage10_w8,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,oracle,qkv_all_blocks_stage15_w8,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,oracle,attention_output_all_blocks_stage4_w4,4,27,64,0.421875,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
